review_id,published_date,updated_date,reported_date,stars,review_text
5bb72dd69d37800b64319d20,2018-10-05 09:24:38+00:00,,,5,"great service and on the one occasion i had a little problem, their twitter help team were great."
5bb6969b9d37800b64317ffe,2018-10-04 22:39:23+00:00,,,5,Carl from the escalations team had a lovely manner and was very helpful. Keep priding yourself on high standards of service Carl!! And thanks for sorting the replacement out of my faulty phone.
5bb60cd49d37800734d8ad92,2018-10-04 12:51:32+00:00,,,4,Has been so straightforward since we switched from O2. Only issue was not being able to use data on recent holiday to Spain. Not much they could do now we're home but I think if I'd contacted them while away they could have solved the prob.
5bb2f4508c83fd0b58de76a2,2018-10-02 04:30:08+00:00,,,1,"I made a very bad decision to sign a 12 month  contract with TESCO MOBILE at £7.50 per month in June 2018. It promised 500 mins 5000 texts and I forget how many Gigabytes of data. (exact GB's not important in this review). Great I thought. However in month two of the contract I noticed the amount of my bill was not £7.50, but £8,25, 75p more than expected. I gave TESCO a call and asked why my bill was not £7.50 as expected, but £8.25. They told me it was because some of my texts (3 to be precise)  exceeded 160 characters and therefore had been converted from a standard FREE TEXT into MMS messages by TESCO and each MMS message they charged an extra 25p for. Outrageous I thought. I remember speedreading the contract and accompanying Terms and Conditions (T and Cs) and had not spotted anywhere where it was stated that any text exceeding 160 characters would be charged at 25p a text, or rather 25p for the MMS message that the ""FREE"" text had been changed to by TESCO MOBILE. I asked them to tell me exactly where in the contract I had signed it mentioned anything at all about TEXTS of any description being converted into MMS messages at 25p a go. They told me it was there in plain view in the contract. I sent the actual contract to my solicitor friend who went through it with a fine toothed comb and a word processor to search for any mention of extra charges , or a full list of which specific texts were converted into MMS by TESCO and charged 25p extra each time. I pointed out unless the bill payer/phone user is made aware of which texts are converted into extra charged MMS messages from FREE TEXTS,  the user can have no foreknowledge of  what some might call a RIPOFF, and will inevitably fall into the pit of extra charges as we are completely blind and unaware of how we might avoid any of these extra charges. I rang back and told TESCO MOBILE there was no mention of any of these extra charges in the contract at all. They then changed their tune and told me the warnings about these extra charges were actually not in the contract, but in the attached T and Cs. So we repeated the same test in this block of text, attached below the signed contract. Likewise here there is no mention of any extra charges, free texts being converted into MMS message, which are charged extra at 25p a message, or any list of exactly why a so called expected FREE text is deemed not to be free by TESCO, and so is charged at 25p a go.  So for the second time we informed TESCO what they had told us was not true, and if they did not agree would they simply identify the page and paragraph(s) in which these extra charges were laid out in plain sight for all to see, as TESCO had always maintained.So this time they now changed the story again, and it gets better! We were now told The relevant text was actually not in the contract I had signed or it's accompanying T and Cs section at all. No they said it was actually in the T and C's on the TESCO website. I pointed out that a website is able to be changed by TESCO at any time it suited them, so unless I was given a copy of that page I could never be sure TESCO had not changed the details of the contract at some point in the future. Indeed in NORMAL business circles a signed contract is usually in one stapled or tied up block of pages, which cannot easily be amended. Each person on both sides of the contract get a copy, and signs it, safe in the knowledge neither side can add or subtract anything from the contract at all, and in the contract all and every extra charge should be mentioned if TESCO wish to rely on it to justify additional charges.  This provides security for both sides involved. For TESCO to refer to some changeable text on a website I was never shown at all before signing the contract I thought was the COMPLETE and FULL  contract, seems to me what some might call cheating or keeping the customer in complete darkness.Anyway just to make sure TESCO had finally , at the third attempt identified where this vital information re the structure of the extra charges and the list of all messages which would be charged extra for, we once again checked the TESCO WEBSITE T and Cs to verify this was where the UP FRONT, OUT IN THE OPEN warnings about extra charges, TESCO claimed to be, actually were. However once again when we used a word processor to search for any mention of extra charges, FREE TEXTS being converted into extra charged MMS texts at 25p each   etc. once again we discovered there was no mention  of any of these things even in the TESCO website's T and Cs. WE challenged TESCO to identify exactly which page, and paragraph was supposed to contain this vital information, and once again for the 4th time TESCO  changed its story.  They now said, the actual warnings were  not in the contract I signed, nor the attached and signed T and Cs. Also they were not in the TESCO website's  T and Cs, but they were as I had always asserted buried in some obscure place, hidden from the customer so we would have no idea about any of these extra charges at all, and so would unwittingly inevitably end up incurring extra charges, and profits for TESCO, at the expense of the blind uninformed customer.This turned out to be true as the actual warnings that texts of more than 160 characters would be converted to MMS messages, at 25p a time  were buried in a help section on the TESCO website, which was neither mentioned or referred to anywhere at all in the entire contract, so one would never know it was even important to know about Here were hidden the words mentioning every text containing more than 160 characters would be charged extra for, as an MMS message, and every subsequent 160 characters would be charged as an extra text, no mention at all that each extra 160 characters in a text would be charged as an extra text, at 25 pence each extra 160 characters at all. So a text with 161 characters costs 25 pence extra, 321 characters cost 50p and each additional 160 characters would be costing an extra  25p each time. I believe this is a form of deception in my opinion. When I asked for a full and exhaustive list of all types of texts which would be charged extra for by  TESCO even now they still refused to provide me with a full and proper list. I was told only that each additional 160 characters would be charged as an extra text, which might easily be construed as being one of the 5000 free ones? No, they are all charged at 25 each, but that figure is never specifically mentioned at all.  I was emailed some further types of texts which would be converted into MMS texts, and these are regardless of the number of characters. It is just the type of character which triggers the extra cost. For example, by merely using some simple characters like () brackets, that would be enough for the text to be converted into a MMS at 25p a go as in their opinion those brackets could be used as part of an emoticon, which might look like  a face or something similar. I was told also in an email (but you wont find it anywhere in the contract, or any T and Cs, or on the website)  that there are other similar kinds of characters which have the same effect of triggering them being charged as an extra text, but  they would or could not tell me the full list of all the characters which would trigger the extra 25p charge. I found out from a friend that TESCO also charge 25p extra for a text which contains a phone number, as TESCO call that a calling card. No mention of this either, on the website, in the contract or either of the T and Cs.. So I challenged TESCO to come clean and admit this was not god business practice, and was keeping customers in the dark as to how they might become knowledgeable of how to prevent falling into the extra charges trap if we were not aware of the potential risks of using any particular character or other which might trigger the 25p extra charge.  TESCO refused to accept they were doing anything illegal, misleading or wrong. I disagree. All over the TESCO stores and website, claims of 5000 FREE TEXTS A MONTH scream at potential customers, but on none of those flyers , posters etc, does it warn of any of the 5000 ""FREE"" TEXTS  being charged at the rate of 25p a text, (or rather once converted by TESCO into an MMS message!) When I challenged this underhanded  and to me not completely truthful advertising and asked the Advertising Standards Authority if it was legal or not they told me Tesco can get away with not mentioning any of these extra charges anywhere in any part of their flyers or posters in the Tesco phone shops or on their website, as the ASA only has jurisdiction over PAID FOR advertising, not TESCO's own flyers and posters. How wonderful I thought! Apparently TESCO dont pay for millions of flyers and posters which appear to me to be designed very specifically to mislead people and generate extra income for TESCO at the uninformed customer's expense. I told TESCO I am a disabled,  pensioner and suffer from many medical and mental health issues, and felt any text which did not form a part of the contract, should not be relied upon by TESCO as justification for what I feel is actually stealing from people, they told me it was all totally legal. I challenge that notion, and if by virtue of TESCO's massive financial clout they are allowed to do this, someone should put a stop to it right away. I told TESCO I believe what they have been doing might have potentially made them millions of pounds in extra charges and they should refund that money they had taken from unsuspecting customers back to those customers immediately they would not accept that at all. I further told them I believed if by some clever methodology TESCO had managed to find  a technically legal way to continue, in my opinion  to rip off unsuspecting customers,  that was immoral, unethical, and stank to high heaven. TESCO did not seem to care. My advice is don't trust TESCO MOBILE at all.   Shop elsewhere is my advice."
5bb0b5048c83fd06e0c61921,2018-09-30 11:35:32+00:00,,,5,Quick advice and did the job efficiently!
5bad36018c83fd06e0c54af8,2018-09-27 19:56:49+00:00,,,5,very helpful gave me the puk code for my phone after I contacted them on facebook
5babaecd8c83fd06e0c4c81e,2018-09-26 16:07:41+00:00,,,4,"As. PAYG Tesco sim customer I have always enjoyed good service but trying to swap my sim has proved problematic. Having bought a new  Lumia I needed a nano sim.  The Tesco phone shop provided me with a new sim with instructions how to transfer my existing sim over. It was easy to execute and all went well except the fact that my new phone tells me it’s number is that of the replacement sim and not my original number.p although the phone sends from my original number and receives calls to my original number.Tesco tell me to live with the issue but, and blame this on my OCD, but I would like things to be right. The issue must be something to do with the sim transfer, maybe the original number is embedded in the sim but whatever the reason it needs fixing Tesco. Oh, and before you tell me that I put the new sim in my phone before the transfer happened, no I didn’t. I waited over 24 hours before inserting it."
5bab51c98c83fd0b58dc5868,2018-09-26 09:30:49+00:00,2019-04-04 10:50:44+00:00,,3,"I couldn't after 7 calls and numerous group chats couldn't even change my delivery address. Such a simple request., They are going to send it to the wrong address after being told 7 times to send it to a different address. They ruined my dads 60th birthday surprise and trying now to get my neighbour to intercept it. I was told to phone DPD to change it. they told me to phone Tesco. Escalated and still couldnt help me. offered to provide ID and proof of purchase. Still couldnt help.Thanks for ruining everythingUnfortunately, i am locked into a contract but convinced my gf to leave tesco.Sorted Issue out"
5ba8c8948c83fd06e0c3cbad,2018-09-24 11:20:52+00:00,,,1,"For 8 years this company has been paid by me every month with never a payment late.  I go on holiday and tell them beforehand that my final payment of £12.50 will be a little late as I will be out of the country but I will pay as soon as I return, I'm told that's fine, I've never missed a payment for 8 years after all.  I follow up this conversation with an Email to confirm the arrangements, just to be on the safe side.  I pay the £12.50 on my return to the UK only to receive a week later a letter from a debt collection agency demanding payment.  I ring them up to be told that the £12.50 payment is still outstanding and hasn't been paid at all, but ""they would investigate"".  Never again Tesco mobile, you or your debt collection agency contact me one more time and you'll be speaking not with me but with my solicitor.  It's only £12.50 but by God you've really annoyed me.  This could potentially affect my credit rating."
5ba742948c83fd0b58db305b,2018-09-23 07:36:52+00:00,,,3,Mediocre... good deals but giff gaff is better with there tarriffsGood connection . Mediocre customer service..
